caseid,tname,tid,nan_count_per_column,zero_count,size,samplingperiode
31,BIS/EEG1_WAV,84aee7c0b142bea794ef7b377298f17315f1abed,221,402,1333229,25.25
31,BIS/EEG2_WAV,ad96cfdd172716283681d29ee48ab7b6eb223f6f,221,628,1333229,20.5
31,Primus/AWP,15ccff9899860aebb4a6ddd21b5db17c26cea5fd,2803,14239,650991,
31,Primus/CO2,45d5130dc465eafdc1e8db922bc262344e65b8f0,171,25472,650991,
31,SNUADC/ART,88a6b985c9dca4bce8bddcb0fda800360d84cc5b,428,0,5207923,
31,SNUADC/CVP,e7ea73f465f726d13452db0ac79b7cde9f26614f,428,0,5207923,
31,SNUADC/ECG_II,ce99fbb3250575ed241f086a151ec4c426a1496d,428,0,5207923,
31,SNUADC/PLETH,a7b297f1fcd078189a9d1ca9eded9a12e824d7b7,428,0,5207923,
32,Primus/AWP,b5c8cb59e62eb1708cdb72270fa96814d5ddf7b2,241,28042,244921,0.5
32,Primus/CO2,d6c7675469d4ad391382f9b980184e42b40c1bee,241,43881,244921,0.0
32,SNUADC/ART,75321ca6c14a90b37066cba2dda2dc773a6864df,1570,0,1959368,
32,SNUADC/ECG_II,13438921ff339ac0419a884b0d5643bbf51ac66e,1570,0,1959368,
32,SNUADC/PLETH,a0da20cb2c86df8b70d17cabc4624a145156a930,1570,0,1959368,
33,BIS/EEG1_WAV,8eeb33cd4b0400c62e5a3b8d4013e1f1d79c2d70,184,401,808568,16.1
33,BIS/EEG2_WAV,6193d12b857fcf1055fa28bdc9902ab73bae74ad,184,710,808568,13.3
33,Primus/AWP,a77c0a43f02ffb0624ef95f2e3549a13109e31ff,99,24169,394809,
33,Primus/CO2,92f20728eaa65dc0d0a7fba0f0203e27054ac323,99,44911,394809,
33,SNUADC/ECG_II,4d4b035c3979b4af17e4984c9dbe3acce7c38220,446,0,3158468,
33,SNUADC/PLETH,0a12ee80d612f044c5692e341fe4fc4bdc62ef78,446,0,3158468,
34,BIS/EEG1_WAV,856db6fd9761c2a5ccb63eccffa58e6ee40dabf9,244,4032,3042964,-3.5
34,BIS/EEG2_WAV,63a3c00454c369e222973279254be4ab8c3716d6,244,2718,3042964,-6.85
34,Primus/AWP,7c401c783fce0da5099d76d2698cc3697c314251,8232,1618,1485823,
34,Primus/CO2,7482291f98d0b13d03f256214bb3379fce10fbd7,163,60561,1485823,
34,SNUADC/ART,ff5feb800121e077433c59059562ba1487b9de42,470,0,11886578,
34,SNUADC/ECG_II,c2c8e20c87592ab1af66e2bbe727ac96b46969b6,470,0,11886578,
34,SNUADC/ECG_V5,e72f8e3f39c3ba034b021156a5ad689db0fcaf2f,470,0,11886578,
34,SNUADC/PLETH,6485d7070af93ab45ffb8e65c7883cebd673061c,470,0,11886578,
35,BIS/EEG1_WAV,5bcf57ac67eee2d6915df7e19efff98cf4d46723,161,318,730961,
35,BIS/EEG2_WAV,a80ab27cd343ea3dc31115f6788148722b57f0a6,161,348,730961,
35,Primus/AWP,bba9010db0cfe3a45e6baf93b68d9da57a1dbbc0,1715,9539,356915,
35,Primus/CO2,bcd1489b6b1ba444be816f396186ddd48b1fe8fe,335,28978,356915,
35,SNUADC/ECG_II,5663b254740236a38dc7754a84ef8ef56fe08e7f,2208,0,2855317,
35,SNUADC/ECG_V5,4e824f0f0e93dc38c5c4d5de5b5a71f123edcef5,2208,0,2855317,
35,SNUADC/PLETH,3323f1bc2bf9257d676cf358137114a9df9277f3,2208,0,2855317,
36,BIS/EEG1_WAV,f60a9e592dd98488719830731d58d2aa6dfe079f,911,239,644671,18.95
36,BIS/EEG2_WAV,579c30b75a87439da5adbdf979aa92f752b3102e,911,410,644671,19.9
36,Primus/AWP,e64d4b59778bb82601f9b9ebea6f2c6ae6e0ea24,1435,1477,314781,
36,Primus/CO2,f4a17bb6896e2ddc12532a6f485aa62fd1701fd7,111,11116,314781,
36,SNUADC/ECG_II,9532b83d25d41bac5494be884788e613f99e5949,448,0,2518246,
36,SNUADC/ECG_V5,bcb6aba4a9a123c2ac35ff07c29df4a523d76495,448,0,2518246,
36,SNUADC/PLETH,a207f42f596b23318e072e376d5724a615ee1085,448,0,2518246,
37,BIS/EEG1_WAV,a75a8592c8470f66eec65d084faa838f5772c534,252,1299,1511308,
37,BIS/EEG2_WAV,6489b765f444a3e5eff0d10fc5c0b087c93abba4,252,1378,1511308,
37,Primus/AWP,29d9c68e54f8618ace3a9d0b93fdbf941e0871ae,2624,6879,737943,0.1
37,Primus/CO2,1b486cd15cd0b8a7d20cd4232d76421638834f9f,153,45402,737943,2.0
37,SNUADC/ECG_II,77cb7bc04bcdade7c992596d10cce592d05b639a,689,0,5903544,
37,SNUADC/ECG_V5,958de7ac43a21b49193f2b997b53f6f0ae7c0eab,689,0,5903544,
37,SNUADC/PLETH,3e737b80c5ac2b7eb9a6b4db27dc93dbeade793d,689,0,5903544,
38,BIS/EEG1_WAV,fe3c3b364b6ae84a2491adb2b2ec4e5291f9f198,2722,1026,1573138,
38,BIS/EEG2_WAV,0bb4cc96c4a0e16c8343d7824b69c18df279bc8c,2722,1764,1573138,
38,Primus/AWP,a27890e6b2af53bd0abe2c8b9f95feadd9a899ae,5291,0,768134,-0.5072
38,Primus/CO2,1a0779d47cd03360734b2de13bd0cd9822de7386,1364,47175,768134,0.9
38,SNUADC/ART,f53b6c90e1aa742699f1b3c2b7948055511d7d00,10423,0,6145067,
38,SNUADC/CVP,ce9dc847463b49e477bdcc22fc10e6d2021119cd,10423,0,6145067,
38,SNUADC/ECG_II,f4849d03366c55e506e39c7029c05706f091ffb4,10423,0,6145067,
38,SNUADC/PLETH,955666e47cf747ee984802fda03aca9a16613d8b,10423,0,6145067,
39,BIS/EEG1_WAV,789675c99cb5f2ac0c07c380c91c95ed21188c8e,278,0,449830,
